Day,Time,NO2_we,NO2_ae,Sensibilidad_NO2,ppb_NO2,O3_we,O3_ae,Sensibilidad_O3,ppb_03,SO2_we,SO2_ae,Sensibilidad_SO2,ppb_SO2,CO_we,CO_ae,Sensibilidad,ppb_CO,Temperatura,Humedad,ug/m3_NO2_Sensor,ug/m3_O3_Sensor,ug/m3_SO2_Sensor,ug/m3_CO_Sensor,NO2_Mompean,CO_Mompean,O3_Mompean,SO2_Mompean
'6/5/21','14:00',223.8931312,226.7634106,0.261,-10.99723908,233.5544034,224.853825,0.35,24.85879543,400.9169888,370.4499359,0.322,94.61817671,405.3773845,372.8780299,0.444,73.19674459,31.7,42.8,-20.225722,47.70148832,242.3331324,81.96255478,8,0.2,71,4
'6/5/21','15:00',223.5360854,225.7693669,0.261,-8.5566341,235.9337254,224.1902413,0.35,33.55281171,405.2597304,371.9745798,0.322,103.3700329,406.0749364,365.9600844,0.444,90.34876577,32.1,42.1,-15.71642826,64.30004778,264.4011882,101.0360761,8,0.2,82,3
'6/5/21','16:00',225.278036,223.9082706,0.261,5.248143295,240.4925233,223.8149925,0.35,47.650088,403.1969256,369.7758011,0.322,103.7923121,419.7504801,362.97258,0.444,127.8781534,30.1,45.9,9.703120866,91.91808039,267.2322065,143.9479441,6,0.2,90,2
'6/5/21','17:00',229.9634994,224.1874551,0.261,22.13043793,244.1985585,225.2617236,0.35,54.10524257,397.0178291,364.9657375,0.322,99.54065714,435.6486637,362.0792766,0.444,165.6968178,27.7,51.7,41.24264961,105.2028199,258.3300382,188.0070227,8,0.2,85,3
'6/5/21','18:00',232.4035589,223.7489743,0.261,33.15932797,245.4916117,226.6782195,0.35,53.75254914,392.1417411,362.2107511,0.322,92.95338509,444.5551672,367.399342,0.444,173.7743811,24.8,59.8,62.39774525,105.5343218,243.5825883,199.0912992,10,0.2,71,3
'6/5/21','19:00',235.662185,224.1286986,0.261,44.18960307,250.6192815,228.4963105,0.35,63.20848857,384.4601727,359.2539492,0.322,78.2801972,447.3900735,369.2024366,0.444,176.0982813,21.3,72.1,84.14244123,125.5746266,207.5700897,204.1519247,12,0.2,72,3
'6/5/21','20:00',235.8626493,224.7198932,0.261,42.69255211,251.4450059,230.1332872,0.35,60.89062486,380.3781364,358.2777695,0.322,68.63467981,450.1158025,376.4357841,0.444,165.9459874,19.3,81,81.8478089,121.7970736,183.2383645,193.6979613,10,0.2,76,4
'6/5/21','21:00',235.5403383,225.5975985,0.261,38.09478851,251.8070667,231.620909,0.35,57.67473629,377.0427953,356.8235774,0.322,62.79260217,450.3591092,381.0406303,0.444,156.1227002,17.8,87.6,73.40975447,115.9592251,168.5056782,183.1713779,10,0.3,76,3
'6/5/21','22:00',235.5317758,226.0980738,0.261,36.14445211,248.055637,232.2463777,0.35,45.16931229,375.0133901,356.0823326,0.322,58.79210404,447.0950629,383.4352245,0.444,143.3780144,17.4,88.9,69.7472891,90.94119299,157.9874334,168.4502275,9,0.3,78,3
'6/5/21','23:00',234.7693205,226.1882137,0.261,32.87780383,245.7965439,232.4987808,0.35,37.99360886,374.0837486,355.9506103,0.322,56.3140941,443.56663,385.2458727,0.444,131.353057,16.9,89.4,63.55306441,76.62592427,151.5893368,154.5885184,12,0.2,66,4
'7/5/21','0:00',232.4386017,226.2563246,0.261,23.68688544,244.5890447,232.797661,0.35,33.68966771,374.2727522,356.0442838,0.322,56.61015031,438.485744,387.8991072,0.444,113.9338667,16.8,89.6,45.80273512,67.96912247,152.438833,134.1342371,6,0.3,80,4
'7/5/21','1:00',232.8439862,226.2029029,0.261,25.4447636,243.645866,232.7802238,0.35,31.044692,374.6742007,356.6244242,0.322,56.05520652,437.1462647,388.8623343,0.444,108.747591,16.7,90.9,49.2188749,62.65447558,150.9965668,128.0726101,7,0.3,73,4
'7/5/21','2:00',232.8235429,226.4658781,0.261,24.35886897,244.7674166,232.9841709,0.35,33.66641629,373.2851679,356.3174792,0.322,52.6946854,435.3598633,388.6282624,0.444,105.2513534,17,90.7,47.06966534,67.87539388,141.7975286,123.8269095,7,0.3,73,5
'7/5/21','3:00',232.6176173,226.2835761,0.261,24.26835709,242.4956343,232.7332551,0.35,27.892512,374.2795928,356.6035858,0.322,54.89443168,433.866046,389.1691366,0.444,100.6687149,16.8,92.5,46.92711223,56.27332333,147.8187756,118.517186,6,0.3,69,4
'7/5/21','4:00',233.4179845,226.6554947,0.261,25.90992261,242.5463978,233.1158949,0.35,26.944294,373.842749,356.0070451,0.322,55.39038478,434.3987998,388.5703913,0.444,103.2171363,16.9,93.7,50.08409287,54.34154569,149.1028459,121.4755448,7,0.3,64,4
'7/5/21','5:00',233.2785965,226.4086667,0.261,26.32157011,241.8377129,233.0163919,0.35,25.20377429,373.3621242,356.5224009,0.322,52.29727733,436.9719928,390.0721171,0.444,105.6303507,16.7,93.6,50.91491856,50.86632074,140.8737889,124.4014197,8,0.3,63,4
'7/5/21','6:00',235.798294,226.7743169,0.261,34.5746249,242.3906167,233.333593,0.35,25.87721057,372.4586305,355.6304304,0.322,52.26149099,447.0486867,389.8428701,0.444,128.8419293,16.5,94.5,66.92532835,52.26151262,140.874596,151.8425912,11,0.3,57,5
'7/5/21','7:00',240.1031839,227.6571806,0.261,47.6858364,243.3603497,234.0768544,0.35,26.52427229,370.2172654,354.4776506,0.322,48.8807913,448.9400705,388.4129137,0.444,136.3224252,16.7,95.2,92.24071612,53.53135313,131.6707604,160.5476374,18,0.4,43,5
'7/5/21','8:00',245.106849,230.8329378,0.261,54.68931494,243.0006785,237.1088942,0.35,16.83366943,374.0388479,353.1773976,0.322,64.78711273,468.2444469,387.9074176,0.444,180.9392552,19.6,88.7,104.7398978,33.63720788,172.7890205,210.982199,27,0.5,28,5
