'so2_we','no2_we','no2_ae','o3_we','o3_ae','co_we','co_ae','so2_ae','humedad','temperatura'
388.434021,233.5358582,228.2811127,227.4743042,228.8493347,403.8837585,331.9633789,356.7054749,54.1008606,25.09880066
386.0105896,234.1400757,228.7097321,227.657608,228.7998657,403.1385193,331.3118591,354.0975342,54.16189957,25.12550354
385.1513774,234.2202352,228.4359843,229.0703278,228.8505249,402.3221537,330.8368225,354.5932515,54.30024592,25.11660258
385.1711324,234.4243978,228.3765767,230.2293955,228.7529704,402.1554871,330.4833679,354.4196269,54.53523636,25.09880066
385.8345337,233.5259857,227.8847198,230.4795685,228.7212524,404.5593567,334.9863586,357.7357178,54.65476608,25.09880066
385.4804077,234.1228485,228.3873138,229.7436523,228.766037,401.9483948,331.2618408,355.4491577,54.75547409,25.06942749
386.1173401,233.6322479,228.1066589,229.1024628,228.7144318,402.4265137,331.8831482,356.7528992,54.77073288,25.09880066
384.249115,234.4384918,228.5545502,228.8962097,228.7785034,399.1836853,329.1540222,352.7116699,54.81040573,25.12550354
385.4559631,234.4556732,228.5701904,228.1227417,228.8951721,398.5644531,328.3482056,353.7210083,54.68375778,25.13885498
385.5184021,234.5410919,228.5821381,228.2524261,228.9904938,400.112915,329.8420105,353.6065063,54.64255905,25.16822815
385.4908142,233.9832458,228.4727478,227.883667,228.7113037,400.1149597,329.8331299,353.8319397,54.54185104,25.19760132
387.9533386,233.4467926,228.183197,227.9086914,228.8993378,403.1910706,331.9628601,356.3179932,54.59678268,25.23765564
387.2070313,234.0988922,228.4826813,227.5341949,228.7982788,401.4498901,330.3956909,355.2247314,54.45944595,25.253685
385.9522705,234.4827576,228.9003906,227.4993439,229.0832062,401.4619141,329.5066528,354.1236572,54.49912643,25.29373932
386.2490845,234.4676819,228.7883606,226.8206635,229.1529999,401.079071,329.1544495,353.4731445,54.41214371,25.30976105
389.1203512,233.9242198,228.4194641,227.0013885,228.8257294,404.3245646,331.7688192,357.2427877,54.42536799,25.35070546
388.6498515,234.3669586,228.7864787,226.5746613,228.8878733,404.6923218,331.5535278,355.7587585,54.37043635,25.39877065
389.8747253,233.2155457,228.5509033,226.7436066,228.8862915,406.2119751,333.1217957,358.0368042,54.33432388,25.42191315
386.7496643,235.1067352,229.3956909,226.6399078,229.0347443,403.0744019,329.4612732,353.9117126,54.24429703,25.44861603
387.3075256,235.0067291,229.232132,226.8633575,229.1212158,402.5165405,329.6341858,353.9361267,54.43503189,25.46463776
